id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
607,2016,Rajkot,03-05-2016,GL,DD,DD,field,normal,0,DD,0,8,RR Pant,Saurashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford,
608,2016,Kolkata,04-05-2016,KKR,KXP,KXP,field,normal,0,KKR,7,0,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,
609,2016,Delhi,05-05-2016,DD,RPS,RPS,field,normal,0,RPS,0,7,AM Rahane,Feroz Shah Kotla,C Shamshuddin,RJ Tucker,
610,2016,Hyderabad,06-05-2016,GL,SH,SH,field,normal,0,SH,0,5,B Kumar,"Rajiv Gandhi International Stadium, Uppal",M Erasmus,S Ravi,
611,2016,Bangalore,07-05-2016,RPS,RCB,RCB,field,normal,0,RCB,0,7,V Kohli,M Chinnaswamy Stadium,CB Gaffaney,BNJ Oxenford,
612,2016,Chandigarh,07-05-2016,KXP,DD,DD,field,normal,0,KXP,9,0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",HDPK Dharmasena,CK Nandan,
613,2016,Visakhapatnam,08-05-2016,SH,MI,MI,field,normal,0,SH,85,0,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi,C Shamshuddin,
614,2016,Kolkata,08-05-2016,KKR,GL,GL,field,normal,0,GL,0,5,P Kumar,Eden Gardens,M Erasmus,RJ Tucker,
615,2016,Chandigarh,09-05-2016,RCB,KXP,KXP,field,normal,0,RCB,1,0,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,HDPK Dharmasena,
616,2016,Visakhapatnam,10-05-2016,SH,RPS,SH,bat,normal,0,SH,4,0,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma,
617,2016,Bangalore,11-05-2016,RCB,MI,MI,field,normal,0,MI,0,6,KH Pandya,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,
618,2016,Hyderabad,12-05-2016,SH,DD,DD,field,normal,0,DD,0,7,CH Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus,
619,2016,Visakhapatnam,13-05-2016,MI,KXP,MI,bat,normal,0,KXP,0,7,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,CK Nandan,
620,2016,Bangalore,14-05-2016,RCB,GL,GL,field,normal,0,RCB,144,0,AB de Villiers,M Chinnaswamy Stadium,AY Dandekar,VK Sharma,
621,2016,Kolkata,14-05-2016,RPS,KKR,RPS,bat,normal,1,KKR,0,8,YK Pathan,Eden Gardens,A Nand Kishore,BNJ Oxenford,
622,2016,Chandigarh,15-05-2016,KXP,SH,KXP,bat,normal,0,SH,0,7,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",KN Ananthapadmanabhan,M Erasmus,
623,2016,Visakhapatnam,15-05-2016,MI,DD,DD,field,normal,0,MI,80,0,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,CK Nandan,
624,2016,Kolkata,16-05-2016,KKR,RCB,RCB,field,normal,0,RCB,0,9,V Kohli,Eden Gardens,CB Gaffaney,A Nand Kishore,
625,2016,Visakhapatnam,17-05-2016,DD,RPS,RPS,field,normal,1,RPS,19,0,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,C Shamshuddin,
626,2016,Bangalore,18-05-2016,RCB,KXP,KXP,field,normal,1,RCB,82,0,V Kohli,M Chinnaswamy Stadium,KN Ananthapadmanabhan,M Erasmus,
627,2016,Kanpur,19-05-2016,KKR,GL,GL,field,normal,0,GL,0,6,DR Smith,Green Park,AK Chaudhary,CK Nandan,
628,2016,Raipur,20-05-2016,SH,DD,DD,field,normal,0,DD,0,6,KK Nair,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,
629,2016,Visakhapatnam,21-05-2016,KXP,RPS,KXP,bat,normal,0,RPS,0,4,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,Nitin Menon,
630,2016,Kanpur,21-05-2016,MI,GL,GL,field,normal,0,GL,0,6,SK Raina,Green Park,AK Chaudhary,CK Nandan,
